Desal 1 base cost,Disposal cost,LCOW Total,LCOW Product distribution,LCOW Waste disposal,LCOW Feed sourcing,LCOW Pretreatment,LCOW Desal 1,LCOW Desal 2,LCOW Desal 3,LCOW Valorizer cost,LCOW Valorizer revenue,Pretreatment base cost,Desal 1 base cost,Desal 1 water recovery,Desal 1 unit cost,Desal 2 base cost,Desal 2 water recovery,Desal 2 unit cost,Desal 3 base cost,Desal 3 water recovery,Desal 3 unit cost,Feed X,Valorizer base cost,Valorizer X recovery %,Valorizer X value,Valorizer unit cost,Valorizer levelized revenue (LROW),Valorizer X production,Feed source cost,Product distribution cost,Desal 1 rate cost LCOW/WR,Desal 2 rate cost LCOW/WR,Desal 3 rate cost LCOW/WR,Disposal cost,Feed TDS,System water recovery,Desal 1 outlet TDS,Desal 2 outlet TDS,Desal 3 sludge TDS,Desal 3 sludge water content,Waste TDS concentration,Waste solids production
0.1,1.0,0.32162162730186367,0.0,0.0810810814846653,0.0,0.10810810814846655,0.09189189187809826,0.040540540336818025,5.453815597713095e-09,0.0,0.0,0.1,0.1,84.99999995501408,0.09999999999999999,0.5,49.99999955910241,0.5,10.0,7.284041419345147e-07,9.999999999999998,299.81760742365447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3493.669093874855,92.49999996495403,23.291127218077797,46.58225397140536,46.58225432790603,95.32307825415587,46.58225432793534,3.4936690938748547
0.1,2.0,0.4027027093123282,0.0,0.16216216255308932,0.0,0.10810810812765448,0.09189189184123356,0.040540540478226,6.312124864324897e-09,0.0,0.0,0.1,0.1,84.99999993777271,0.1,0.5,49.999999705283514,0.5,10.0,6.809389953461864e-07,9.999999999999833,299.8176074209102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3493.6690938730335,92.49999997907416,23.291127195863975,46.58225412209356,46.582254177926856,95.32307826935414,46.582254133105685,3.4936690938730326
0.1,3.0,0.48378379054163434,0.0,0.24324324255165194,0.0,0.10810810808505507,0.09189189182424486,0.04054054049972795,7.580954522775062e-09,0.0,0.0,0.1,0.1,84.99999995555196,0.1,0.5,49.999999812095744,0.5,10.0,9.26720970882873e-07,10.000000000000057,299.81760741816595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3493.6690938712113,92.50000001927347,23.2911272234584,46.58225427199432,46.58225469102274,95.32307821753344,46.58225467008434,3.493669093871211
0.1,4.0,0.5648648714308973,0.0,0.3243243223220144,0.0,0.10810810805805034,0.09189189181196906,0.04054054050338044,8.73548296085065e-09,0.0,0.0,0.1,0.1,84.9999999654293,0.1,0.5,49.99999986207591,0.5,10.0,1.0755926994577766e-06,9.999999999999444,299.81760741542166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3493.6690938693887,92.5000000427202,23.29112723878323,46.58225434908122,46.5822548565319,95.32307820084411,46.58225484180018,3.493669093869389
0.1,5.0,0.6459459524258526,0.0,0.40540540139948167,0.0,0.1081081080279896,0.09189189179321267,0.0405405404986086,1.0706560118736903e-08,0.0,0.0,0.1,0.1,84.99999997171489,0.09999999999999999,0.5,49.99999989105322,0.5,10.0,1.3199766407913024e-06,9.999999999999861,299.81760741267743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3493.669093867567,92.50000006851886,23.29112724853095,46.58225439556368,46.58225501989572,95.32307818437658,46.58225500797738,3.4936690938675663
0.325,1.0,0.5283783847420148,0.0,0.08108108216971921,0.0,0.10810810821697191,0.2986486485206861,0.04054054046913059,5.365506988853694e-09,0.0,0.0,0.1,0.325,84.99999987798572,0.325,0.5,49.99999945486398,0.5,10.0,6.617458486945553e-07,10.0,299.8176074099331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3493.6690938657443,92.49999990685339,23.29112710298164,46.582253698089986,46.582254006346126,95.32307828655534,46.582254006346126,3.4936690938657446
0.325,2.0,0.6094594662543882,0.0,0.16216216243083442,0.0,0.10810810812154174,0.2986486484454993,0.040540540516055115,6.740457539236404e-09,0.0,0.0,0.1,0.325,84.99999993161839,0.325,0.5,49.9999997341611,0.5,10.0,7.187751023766259e-07,10.000000000000146,299.8176074071889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3493.669093863923,92.49999998344946,23.291127186247177,46.58225413008072,46.582254152657036,95.32307827191838,46.58225409465125,3.493669093863923
0.325,3.0,0.6905405474210425,0.0,0.24324324239748085,0.0,0.10810810807991604,0.2986486484038702,0.040540540515930715,8.023844807368363e-09,0.0,0.0,0.1,0.325,84.99999995249827,0.325,0.5,49.99999982427049,0.5,10.0,9.799374681984663e-07,10.000000000000043,299.81760740444463,0.0,0.0,0.0,0.0,0.0,4.484155085839415e-44,0.0,0.0,0.0,0.0,0.0,3.0,3493.6690938621014,92.50000002358342,23.2911272186561,46.58225427374442,46.58225471773128,95.32307821483913,46.58225469005851,3.493669093862101
0.325,4.0,0.7716216282408209,0.0,0.32432432212437384,0.0,0.10810810805310936,0.2986486483688571,0.040540540511858014,9.18262263507705e-09,0.0,0.0,0.1,0.325,84.99999996360978,0.325,0.5,49.99999986875089,0.5,10.0,1.1304474936062008e-06,9.999999999999881,299.8176074017004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3493.6690938602787,92.50000004692845,23.29112723589725,46.58225434952889,46.582254885368684,95.32307819793517,46.58225486632713,3.493669093860279
0.325,5.0,0.852702709208671,0.0,0.40540540107536854,0.0,0.10810810802150739,0.298648648305795,0.040540540502850234,1.1303149776713638e-08,0.0,0.0,0.1,0.325,84.99999997050841,0.325,0.5,49.9999998952609,0.5,10.0,1.3934974808851863e-06,9.999999999999062,299.81760739895606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3493.6690938584566,92.50000007406128,23.29112724659688,46.58225439561572,46.582255057129395,95.32307818062165,46.58225504198017,3.4936690938584567
0.55,1.0,0.7351351414987717,0.0,0.08108108214801968,0.0,0.10810810821480196,0.5054054050232467,0.04054054061297096,5.499732417321025e-09,0.0,0.0,0.1,0.55,84.9999998518398,0.55,0.5,49.99999954611761,0.5,10.0,6.783003179429061e-07,10.0,299.81760739621177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3493.669093856634,92.49999990871005,23.29112706232303,46.58225370178877,46.58225401775635,95.32307828540597,46.58225401775634,3.493669093856635
0.55,2.0,0.816216223321442,0.0,0.16216216229763034,0.0,0.1081081081148815,0.5054054049858521,0.04054054055347238,7.369605621744936e-09,0.0,0.0,0.1,0.55,84.99999992411317,0.55,0.5,49.99999975787695,0.5,10.0,7.4814827478141e-07,9.999999999999964,299.8176073934676,0.0,0.0,0.0,0.0,0.0,3.6439354710437086e-43,0.0,0.0,0.0,0.0,0.0,2.0,3493.6690938548127,92.49999998663945,23.29112717453275,46.58225413024781,46.58225401576568,95.32307828576843,46.582253922111,3.493669093854812
0.55,3.0,0.8972973035839971,0.0,0.24324324211701048,0.0,0.108108108070567,0.5054054050119193,0.04054054050424219,7.880258090824509e-09,0.0,0.0,0.1,0.55,84.99999996338177,0.55,0.5,49.99999984822033,0.5,10.0,9.964659622434691e-07,9.999999999999998,299.8176073907233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3493.6690938529905,92.50000003210566,23.29112723438595,46.58225432312767,46.58225478293142,95.32307820827378,46.58225478293141,3.49366909385299
0.55,4.0,0.9783783850748112,0.0,0.3243243218991261,0.0,0.10810810804747818,0.5054054048935654,0.04054054052012379,9.714517777877074e-09,0.0,0.0,0.1,0.55,84.99999996158812,0.55,0.5,49.999999874809326,0.5,10.0,1.1955791048199292e-06,10.000000000000622,299.817607387979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3493.6690938511683,92.50000005171559,23.29112723269739,46.582254348775,46.58225491906541,95.32307819453493,46.58225489356185,3.493669093851169
0.55,5.0,1.0594594660011731,0.0,0.4054054007100153,0.0,0.1081081080142003,0.5054054047832182,0.040540540506819316,1.198692002111996e-08,0.0,0.0,0.1,0.55,84.99999996919442,0.55,0.5,49.9999998991555,0.5,10.0,1.4777422218950013e-06,10.000000000001066,299.8176073852348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3493.6690938493466,92.5000000803076,23.29112724449587,46.58225439504226,46.58225509998272,95.32307817629918,46.58225508020953,3.4936690938493458
0.775,1.0,0.9418918982555287,0.0,0.08108108225479377,0.0,0.10810810822547938,0.7121621613554553,0.04054054077895435,5.6408459185874824e-09,0.0,0.0,0.1,0.775,84.99999981143246,0.775,0.5,49.99999961120103,0.5,10.0,6.957043150479686e-07,10.0,299.81760738249056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3493.6690938475244,92.49999989957419,23.291126999520138,46.582253636817626,46.58225396089237,95.32307829113888,46.58225396089237,3.4936690938475246
0.775,2.0,1.022972980561708,0.0,0.1621621621339869,0.0,0.10810810810669935,0.7121621614386876,0.04054054059282277,8.28951140111685e-09,0.0,0.0,0.1,0.775,84.99999991475745,0.7749999999999999,0.5,49.99999977769714,0.5,10.0,7.379524942681404e-07,9.99999999999998,299.8176073797462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3493.669093845702,92.49999998714996,23.291127159945002,46.58225412338051,46.582253611604735,95.3230783266419,46.58225342777362,3.493669093845701
0.775,3.0,1.1040540603344984,0.0,0.24324324201110062,0.0,0.10810810806703669,0.7121621615703231,0.040540540513758154,8.172279900456276e-09,0.0,0.0,0.1,0.775,84.99999996170361,0.775,0.5,49.999999855933375,0.5,10.0,1.0335864573229187e-06,10.000000000000005,299.81760737700205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3493.6690938438805,92.50000003512315,23.291127231535803,46.58225432480778,46.58225480131153,95.3230782064219,46.58225480131153,3.49366909384388
0.775,4.0,1.1851351419464353,0.0,0.32432432162962277,0.0,0.10810810804074059,0.7121621613776181,0.040540540528184545,1.037026932050242e-08,0.0,0.0,0.1,0.775,84.99999995932859,0.775,0.5,49.9999998803328,0.5,10.0,1.2757067213375016e-06,10.000000000000107,299.8176073742578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3493.669093842059,92.50000005743087,23.291127229128204,46.582254346784886,46.582254960578126,95.32307819034456,46.58225492513543,3.4936690938420583
0.775,5.0,1.2662162228079912,0.0,0.4054054002890326,0.0,0.10810810800578066,0.7121621612179436,0.040540540510475905,1.2784758355918255e-08,0.0,0.0,0.1,0.775,84.9999999677579,0.7749999999999999,0.5,49.99999990277066,0.5,10.0,1.5760140876621212e-06,10.000000000000986,299.81760737151353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3493.669093840237,92.50000008750305,23.291127242204603,46.58225439382802,46.5822551506771,95.32307817118469,46.58225512412198,3.493669093840237
1.0,1.0,1.1486615800440871,0.0,0.08108409573004384,0.0,0.10810840957300437,0.9189157888178537,0.04054151715254082,1.1768770644211297e-05,0.0,0.0,0.1,1.0,84.99947344034915,1.0,0.5,49.9993098830281,0.5,10.0,0.0014514068748609282,10.00000000000014,299.81760736876925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3493.6690938384145,92.49974205980635,23.290309709758326,46.579976506793685,46.58065258464014,95.32323971677887,46.58065258065845,3.4936690938384136
1.0,2.0,1.2297297361002322,0.0,0.16216216256476315,0.0,0.10810810812823818,0.918918918038888,0.04054054064435678,6.723985975683069e-09,0.0,0.0,0.1,1.0,84.99999990276987,1.0,0.5,49.99999979462946,0.5,10.0,8.292915947206671e-07,10.000000000001451,299.817607366025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3493.6690938365928,92.49999998277622,23.291127141270678,46.58225409120891,46.582254477511626,95.32307823906241,46.58225447751163,3.4936690938365924
1.0,3.0,1.310810817081617,0.0,0.2432432419029431,0.0,0.10810810806343146,0.9189189181057397,0.040540540522794904,8.486707961158948e-09,0.0,0.0,0.1,1.0,84.99999995996625,1.0,0.5,49.999999862864435,0.5,10.0,1.0738386416690032e-06,10.000000000000002,299.81760736328073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3493.6690938347706,92.50000003820514,23.29112722854395,46.58225432541676,46.582254820119566,95.32307820452687,46.58225482011955,3.4936690938347703
1.0,4.0,1.39189189887873,0.0,0.3243243212875954,0.0,0.10810810803218991,0.9189189178064427,0.04054054053595118,1.1216550978575572e-08,0.0,0.0,0.1,1.0,84.99999995678664,1.0,0.5,49.99999988538906,0.5,10.0,1.3788638738672018e-06,10.000000000000059,299.81760736053656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3493.669093832949,92.50000006466588,23.29112722512047,46.58225434348362,46.58225501492304,95.3230781848569,46.58225496373375,3.4936690938329478
1.0,5.0,1.4729729796365152,0.0,0.4054053997905223,0.0,0.10810810799581044,0.9189189175987762,0.0405405405137279,1.3737678225110927e-08,0.0,0.0,0.1,1.0,84.99999996618085,1.0,0.5,49.99999990613537,0.5,10.0,1.6933499136658446e-06,9.999999999997652,299.81760735779227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3493.6690938311276,92.50000009602104,23.29112723969511,46.58225439194409,46.58225521270323,95.3230781649253,46.582255175922946,3.493669093831127
